,unique_id,ds,AutoARIMA,AutoARIMA-lo-95,AutoARIMA-lo-80,AutoARIMA-hi-80,AutoARIMA-hi-95
0,1,2025-01-05,79.43528,-206.01628,-107.211464,266.08203,364.88684
1,1,2025-01-12,108.73296,-357.0616,-195.83374,413.29965,574.5275
2,1,2025-01-19,140.82236,-477.15207,-263.2494,544.8941,758.7968
3,1,2025-01-26,182.5792,-571.1849,-310.28064,675.439,936.3433
4,1,2025-02-02,215.1163,-671.5391,-364.6365,794.8691,1101.7717
5,1,2025-02-09,251.37166,-723.53613,-386.08627,888.8296,1226.2794
6,1,2025-02-16,286.26218,-750.2008,-391.44452,963.9689,1322.7251
7,1,2025-02-23,317.39102,-763.14655,-389.13452,1023.9165,1397.9286
8,1,2025-03-02,343.93198,-768.66797,-383.558,1071.422,1456.5319
9,1,2025-03-09,358.29303,-777.8721,-384.6054,1101.1914,1494.4581
10,1,2025-03-16,371.5652,-782.0411,-382.7374,1125.8678,1525.1714
11,1,2025-03-23,381.68118,-784.8968,-381.10315,1144.4655,1548.2592
12,1,2025-03-30,415.9765,-760.28265,-353.13803,1185.0911,1592.2357
13,1,2025-04-06,419.63342,-763.8694,-354.21747,1193.4844,1603.1362
14,1,2025-04-13,411.96515,-776.96747,-365.4361,1189.3663,1600.8977
15,1,2025-04-20,410.77994,-782.22833,-369.28625,1190.8461,1603.7882
16,1,2025-04-27,408.6418,-787.4288,-373.42673,1190.7103,1604.7124
17,1,2025-05-04,411.22223,-787.15106,-372.35193,1194.7964,1609.5955
18,1,2025-05-11,413.0641,-787.0416,-371.64285,1197.771,1613.1698
19,1,2025-05-18,415.58228,-785.82733,-369.97723,1201.1418,1616.992
20,1,2025-05-25,410.81586,-791.5755,-375.38562,1197.0173,1613.2072
21,1,2025-06-01,416.93115,-786.1995,-369.75372,1203.616,1620.0618
22,1,2025-06-08,420.82153,-782.866,-366.22745,1207.8705,1624.509
23,1,2025-06-15,416.86533,-787.2417,-370.45795,1204.1886,1620.9724
24,1,2025-06-22,419.2539,-785.1692,-368.27603,1206.7838,1623.677
25,1,2025-06-29,419.6267,-785.0345,-368.05893,1207.3124,1624.288
26,1,2025-07-06,420.15793,-784.68274,-367.64502,1207.9608,1624.9985
27,1,2025-07-13,420.56116,-784.4147,-367.3302,1208.4525,1625.537
28,1,2025-07-20,420.89487,-784.18286,-367.0631,1208.8529,1625.9727
29,1,2025-07-27,422.5952,-782.55927,-365.41296,1210.6034,1627.7498
30,1,2025-08-03,424.34525,-780.8671,-363.70078,1212.3912,1629.5576
31,1,2025-08-10,423.21872,-782.03723,-364.85577,1211.2932,1628.4747
32,1,2025-08-17,422.91864,-782.3702,-365.17734,1211.0146,1628.2075
33,1,2025-08-24,424.6269,-780.68665,-363.4853,1212.7391,1629.9404
34,1,2025-08-31,422.0912,-783.241,-366.0332,1210.2156,1627.4235
35,1,2025-09-07,422.5401,-782.80615,-365.59348,1210.6737,1627.8864
36,1,2025-09-14,423.15134,-782.20557,-364.98917,1211.2919,1628.5082
37,1,2025-09-21,423.221,-782.14386,-364.9247,1211.3667,1628.5858
38,1,2025-09-28,420.969,-784.40186,-367.18066,1209.1187,1626.3398
39,1,2025-10-05,422.07742,-783.29803,-366.07523,1210.23,1627.4529
40,1,2025-10-12,421.3834,-783.9954,-366.77145,1209.5382,1626.7622
41,1,2025-10-19,423.93063,-781.4508,-364.22592,1212.0872,1629.312
42,1,2025-10-26,424.2719,-781.11145,-363.88593,1212.4297,1629.6553
43,1,2025-11-02,424.71878,-780.666,-363.43997,1212.8776,1630.1036
44,1,2025-11-09,426.1795,-779.2064,-361.97998,1214.339,1631.5654
45,1,2025-11-16,427.9802,-777.40656,-360.17984,1216.1403,1633.367
46,1,2025-11-23,425.7386,-779.6488,-362.42184,1213.899,1631.126
47,1,2025-11-30,424.4895,-780.8984,-363.67126,1212.6503,1629.8773
48,1,2025-12-07,424.46924,-780.91895,-363.69174,1212.6302,1629.8574
49,1,2025-12-14,423.34735,-782.04114,-364.8138,1211.5085,1628.7358
50,1,2025-12-21,421.24066,-784.148,-366.92062,1209.402,1626.6294
51,1,2025-12-28,421.80493,-783.5839,-366.35645,1209.9663,1627.1937
